#Added all lines in G&S longward of 82 A
#Collisional excitation crossections using the formalism of Gaetz and Salpeter
#      ele	z istate energy(eV)  wave(A)	alpha	beta log(tm)	
Xcol	Fe	26	7	82.32	150.9	0.39	0.296	5.65
Xcol	Fe	26	6	74.87	165.6	1.60	0.083	5.40
Xcol	Fe	26	7	74.62	166.2	1.29	0.112	5.56
Xcol	Fe	26	8	73.98	167.9	1.37	0.141	5.90
Xcol	Fe	26	8	73.65	168.7	1.08	0.142	5.90
Xcol	Fe	26	9	72.48	171.1	7.59	0.278	6.00
Xcol	0	8	6	83.65	173.0	0.176	0.058	5.45
Xcol	Fe	26	10	71.70	174.5	3.87	0.162	6.10
Xcol	Fe	26	7	71.60	176.9	2.13	0.115	5.65
Xcol	Fe	26	10	70.19	178.3	2.12	0.163	6.10
Xcol	Fe	26	9	69.33	180.7	2.98	0.168	6.15
Xcol	Fe	26	8	66.87	185.8	1.20	0.147	5.90
Xcol	Fe	26	10	67.19	186.3	0.809	0.165	6.10
Xcol	Fe	26	11	66.09	189.3	0.923	0.101	6.15
Xcol	Fe	26	12	75.06	189.7	0.631	0	6.20
Xcol	Fe	26	12	74.95	190.1	0.632	0	6.20
Xcol	Fe	26	12	63.86	194.1	4.07	0.174	6.20
Xcol	Fe	26	12	68.73	196.1	0.689	0.0	6.20
Xcol	Fe	26	12	71.30	201.4	0.664	0.0	6.20
Xcol	Fe	26	13	63.07	201.9	1.54	0.18	6.30
Xcol	Fe	26	13	61.63	206.8	0.348	0.181	6.30
Xcol	Fe	26	24	59.24	209.3	0.342	0.167	7.25
Xcol	Fe	26	14	58.82	216.5	1.14	0.027	6.45
Xcol	Fe	26	13	63.07	217.1	0.316	0.180	6.30
Xcol	S	16	9	55.61	224.9	0.427	0.091	6.00
Xcol 	Si	14	9	55.42	226.0	0.439	0.110	6.10
Xcol	Fe	26	15	84.35	230.7	0.281	0.0	6.55
Xcol	O	8	4	52.02	238.5	0.272	0.230	5.20
Xcol	Fe	26	15	94.49	243.8	0.122	0.117	6.55
Xcol	Si	14	6	50.40	247.0	0.274	0.126	5.60
Xcol	Fe	26	13	51.51	248.7	0.982	0.034	6.30
Xcol	S	16	13	48.30	256.7	1.15	0.149	6.40
Xcol	S	16	10	47.42	261.5	0.714	0.179	6.15
Xcol	Fe	26	14	48.83	262.3	2.21	0.019	6.45
Xcol	Si	14	7	45.25	275.5	0.523	0.129	5.80
Xcol	Fe	26	6	44.94	276.8	1.67	0.298	5.40
Xcol	Mg	12	7	44.90	277.7	0.689	0.153	5.80
Xcol	Fe	26	14	45.21	284.0	0.253	0.019	6.45
Xcol	Fe	26	15	43.63	284.1	3.64	0.150	6.55
Xcol	Si	14	9	42.66	294.4	0.350	0.068	6.10
